date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
05:54:43	2072/2072	---M--	200	added ('OK')	image/png	date:Tue,%2007%20Sep%202021%2020:02:42%20GMT	https://serviexpert.com/img/ic_pintura.png	/home/bengala/websites/servitodo/serviexpert.com/img/ic_pintura.png	(from https://serviexpert.com/)
05:54:44	4620/4620	---M--	200	added ('OK')	image/png	date:Tue,%2007%20Sep%202021%2020:02:42%20GMT	https://serviexpert.com/img/logo_Serviexpert_blanco.png	/home/bengala/websites/servitodo/serviexpert.com/img/logo_Serviexpert_blanco.png	(from https://serviexpert.com/)
05:54:45	11981/11981	---M--	200	added ('OK')	image/png	date:Tue,%2007%20Sep%202021%2020:02:42%20GMT	https://serviexpert.com/img/img_sellos_calidad.png	/home/bengala/websites/servitodo/serviexpert.com/img/img_sellos_calidad.png	(from https://serviexpert.com/)
05:54:46	2718/2718	---M--	200	added ('OK')	image/png	date:Tue,%2007%20Sep%202021%2020:02:42%20GMT	https://serviexpert.com/img/ic_seguridad.png	/home/bengala/websites/servitodo/serviexpert.com/img/ic_seguridad.png	(from https://serviexpert.com/)
05:54:47	2472/2472	---M--	200	added ('OK')	image/png	date:Tue,%2007%20Sep%202021%2020:02:41%20GMT	https://serviexpert.com/img/ic_confianza.png	/home/bengala/websites/servitodo/serviexpert.com/img/ic_confianza.png	(from https://serviexpert.com/)
05:54:48	2622/2622	---M--	200	added ('OK')	image/png	date:Tue,%2007%20Sep%202021%2020:02:41%20GMT	https://serviexpert.com/img/ic_garantia.png	/home/bengala/websites/servitodo/serviexpert.com/img/ic_garantia.png	(from https://serviexpert.com/)
05:54:49	2779/2779	---M--	200	added ('OK')	image/png	date:Tue,%2007%20Sep%202021%2020:02:41%20GMT	https://serviexpert.com/img/ic_eficiencia.png	/home/bengala/websites/servitodo/serviexpert.com/img/ic_eficiencia.png	(from https://serviexpert.com/)
05:54:50	3179/3179	---M--	200	added ('OK')	image/png	date:Tue,%2007%20Sep%202021%2020:02:41%20GMT	https://serviexpert.com/img/ic_calidad.png	/home/bengala/websites/servitodo/serviexpert.com/img/ic_calidad.png	(from https://serviexpert.com/)
05:54:51	1702/1702	---M--	200	added ('OK')	image/png	date:Tue,%2007%20Sep%202021%2020:02:41%20GMT	https://serviexpert.com/img/ic_experiencia.png	/home/bengala/websites/servitodo/serviexpert.com/img/ic_experiencia.png	(from https://serviexpert.com/)
05:54:52	1813/1813	---M--	200	added ('OK')	image/png	date:Tue,%2007%20Sep%202021%2020:02:52%20GMT	https://serviexpert.com/img/whatsapp.png	/home/bengala/websites/servitodo/serviexpert.com/img/whatsapp.png	(from https://serviexpert.com/)
05:54:54	263767/263767	---M-Z	200	added ('OK')	application/javascript	etag:W/%22620cd6ff-40657%22	https://code.jquery.com/jquery-3.1.0.js	/home/bengala/websites/servitodo/code.jquery.com/jquery-3.1.0.js	(from https://serviexpert.com/)
05:54:54	61454/61454	---M--	200	added ('OK')	application/javascript	date:Mon,%2013%20Sep%202021%2020:53:12%20GMT	https://serviexpert.com/js/libs.js	/home/bengala/websites/servitodo/serviexpert.com/js/libs.js	(from https://serviexpert.com/)
05:54:55	5187/5187	---M--	200	added ('OK')	application/javascript	date:Mon,%2013%20Sep%202021%2020:53:10%20GMT	https://serviexpert.com/js/scripts.js	/home/bengala/websites/servitodo/serviexpert.com/js/scripts.js	(from https://serviexpert.com/)
05:54:57	51215/51215	---MCZ	200	added ('OK')	text/css	etag:W/%221cc6c92172d124fbd305ba3d8e263333%22	https://use.fontawesome.com/releases/v5.5.0/css/all.css	/home/bengala/websites/servitodo/use.fontawesome.com/releases/v5.5.0/css/all.css	(from https://serviexpert.com/css/style.css)
05:54:58	134031/134031	---M--	200	added ('OK')	image/jpeg	date:Tue,%2007%20Sep%202021%2020:02:42%20GMT	https://serviexpert.com/img/banner_ppal.jpg	/home/bengala/websites/servitodo/serviexpert.com/img/banner_ppal.jpg	(from https://serviexpert.com/css/style.css)
05:54:59	140552/140552	---M--	200	added ('OK')	image/jpeg	date:Tue,%2007%20Sep%202021%2020:02:42%20GMT	https://serviexpert.com/img/back_quienesSomos.jpg	/home/bengala/websites/servitodo/serviexpert.com/img/back_quienesSomos.jpg	(from https://serviexpert.com/css/style.css)
05:55:01	713576/713576	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2242f9fd6acee87559ac0d6a33488db65e%22	https://use.fontawesome.com/releases/v5.5.0/webfonts/fa-brands-400.svg	/home/bengala/websites/servitodo/use.fontawesome.com/releases/v5.5.0/webfonts/fa-brands-400.svg	(from https://use.fontawesome.com/releases/v5.5.0/css/all.css)
05:55:01	140249/140249	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%220c41971339b9fc5b1cefb0abad1e2e69%22	https://use.fontawesome.com/releases/v5.5.0/webfonts/fa-regular-400.svg	/home/bengala/websites/servitodo/use.fontawesome.com/releases/v5.5.0/webfonts/fa-regular-400.svg	(from https://use.fontawesome.com/releases/v5.5.0/css/all.css)
05:55:02	746673/746673	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%224478b4d7022cad174e4c04246fe622ef%22	https://use.fontawesome.com/releases/v5.5.0/webfonts/fa-solid-900.svg	/home/bengala/websites/servitodo/use.fontawesome.com/releases/v5.5.0/webfonts/fa-solid-900.svg	(from https://use.fontawesome.com/releases/v5.5.0/css/all.css)
